epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.12362,1.09377,3.17952,1.14575,0.00526,1,0.55651,0.4111,0.9395,2.9688,0.96509,0.000184615,0.000184615,0.000184615
2,11.6526,1.10705,1.6848,1.04893,0.00474,0.9,0.51318,0.36351,1.01912,3.24369,1.14686,0.000384521,0.000384521,0.000384521
3,16.1459,1.11873,1.41349,1.04784,0.7474,0.29619,0.73492,0.51626,0.96096,2.60737,0.9719,0.000584044,0.000584044,0.000584044
4,20.6651,1.07373,1.21082,1.05776,0.73302,0.8,0.78135,0.51824,0.99425,2.66557,1.08683,0.000782892,0.000782892,0.000782892
5,25.1766,1.05671,1.23226,1.05567,0.80487,0.68775,0.74346,0.54332,0.996,2.17336,1.09628,0.000980772,0.000980772,0.000980772
6,29.6171,1.05937,1.18581,1.05639,0.52353,0.66667,0.61986,0.43785,1.08296,1.97999,1.14717,0.0011774,0.0011774,0.0011774
7,33.8328,1.02714,1.14941,1.06003,0.95727,0.63333,0.83934,0.59571,1.11376,1.99392,1.15644,0.00137248,0.00137248,0.00137248
8,38.2663,1.07724,1.13279,1.10038,0.73744,0.83333,0.87257,0.615,1.11606,1.54039,1.17107,0.00156572,0.00156572,0.00156572
9,42.6315,1.05833,1.15857,1.07947,0.85361,0.77773,0.83721,0.56126,1.11211,1.5119,1.20602,0.00175686,0.00175686,0.00175686
10,46.7435,1.0329,1.05936,1.09466,0.91282,0.6981,0.87422,0.56468,1.2048,1.22177,1.27946,0.00194561,0.00194561,0.00194561
11,50.9023,1.0755,1.06238,1.0852,0.94914,0.6,0.80485,0.56928,1.13376,1.23853,1.19846,0.00195155,0.00195155,0.00195155
12,55.062,1.02802,0.95526,1.04754,0.8162,0.63333,0.73182,0.45355,1.30658,1.83752,1.47793,0.00194147,0.00194147,0.00194147
13,59.133,1.07142,1.05396,1.09459,0.67483,0.63333,0.5995,0.37082,1.26243,2.35678,1.29018,0.00193048,0.00193048,0.00193048
14,63.2436,1.10955,1.02125,1.12412,0.4136,0.26667,0.26319,0.13989,1.77756,2.68586,1.90923,0.00191858,0.00191858,0.00191858
15,67.372,1.02641,0.91868,1.05978,0.83884,0.66667,0.75655,0.51837,1.18134,1.35921,1.28192,0.00190578,0.00190578,0.00190578
16,71.4611,1.00663,0.8947,1.05278,0.85179,0.63333,0.73565,0.50531,1.17356,1.26989,1.29436,0.0018921,0.0018921,0.0018921
17,75.5305,1.01722,0.82175,1.03284,0.8453,0.8,0.88913,0.63836,1.04191,0.8956,1.16038,0.00187754,0.00187754,0.00187754
18,79.7774,1.04608,0.89885,1.06131,0.78829,0.9,0.86523,0.61408,1.03083,0.94126,1.11536,0.00186213,0.00186213,0.00186213
19,83.8683,1.0061,0.8636,1.07595,0.90418,0.86667,0.93417,0.66374,1.10019,0.7771,1.17907,0.00184588,0.00184588,0.00184588
20,88.2024,1.02993,0.85081,1.07406,0.89725,0.93333,0.9433,0.60822,1.21942,0.79142,1.24639,0.00182881,0.00182881,0.00182881
21,92.3339,1.03152,0.80615,1.07958,0.75428,0.81884,0.85364,0.59356,1.10859,0.98626,1.1851,0.00181093,0.00181093,0.00181093
22,96.4305,0.93397,0.78699,1.05649,0.805,0.76667,0.85455,0.59742,1.12099,0.96857,1.20451,0.00179225,0.00179225,0.00179225
23,100.488,0.98289,0.76533,1.0392,0.81566,0.9,0.87799,0.59244,1.22682,0.92965,1.30308,0.00177281,0.00177281,0.00177281
24,104.619,0.98609,0.78797,1.05654,0.70883,0.8,0.85189,0.58658,1.06181,1.00379,1.13862,0.00175261,0.00175261,0.00175261
25,108.874,0.94728,0.71602,1.03334,0.96268,0.86007,0.95444,0.67064,0.99992,0.71192,1.20816,0.00173168,0.00173168,0.00173168
26,113.262,0.99778,0.78129,1.08364,0.95679,0.93333,0.96715,0.69743,1.0461,0.79169,1.21646,0.00171004,0.00171004,0.00171004
27,117.586,0.95858,0.76082,1.08525,0.905,0.9,0.95292,0.69339,1.01986,0.8619,1.11928,0.0016877,0.0016877,0.0016877
28,121.763,0.97034,0.69953,1.04773,0.88183,0.9,0.9243,0.64452,1.1088,0.7129,1.17669,0.0016647,0.0016647,0.0016647
29,125.83,0.96599,0.72848,1.04414,0.83937,0.93333,0.89866,0.67801,0.95555,0.82011,1.13572,0.00164105,0.00164105,0.00164105
30,129.855,0.91537,0.66701,1.0527,0.92925,0.87588,0.95766,0.69481,1.02348,0.68971,1.14979,0.00161678,0.00161678,0.00161678
31,133.844,0.96055,0.71114,1.07193,0.85903,0.9,0.94235,0.67171,0.99975,0.77401,1.1212,0.00159191,0.00159191,0.00159191
32,137.835,0.89127,0.62904,1.00784,0.8876,0.8,0.866,0.63747,0.99248,0.81398,1.12484,0.00156646,0.00156646,0.00156646
33,141.845,0.92848,0.69442,1.03826,0.87169,0.93333,0.91629,0.67539,0.98411,0.72092,1.12692,0.00154047,0.00154047,0.00154047
34,145.803,0.95857,0.69212,1.04174,0.8615,0.9,0.9298,0.67462,1.04005,0.77634,1.13616,0.00151395,0.00151395,0.00151395
35,149.782,0.88348,0.65349,1.02193,0.90622,0.96632,0.95775,0.70549,1.03999,0.69003,1.12125,0.00148694,0.00148694,0.00148694
36,153.992,0.92555,0.66558,1.03462,0.9097,0.93333,0.9581,0.70996,1.02953,0.62018,1.11379,0.00145945,0.00145945,0.00145945
37,158.173,0.88353,0.61163,1.00448,0.92583,0.93333,0.95869,0.70951,1.01763,0.62466,1.10952,0.00143152,0.00143152,0.00143152
38,162.148,0.90725,0.65063,1.02893,0.92417,0.9,0.96237,0.72315,0.97972,0.63606,1.10191,0.00140318,0.00140318,0.00140318
39,166.3,0.89018,0.62611,0.99808,0.81362,0.93333,0.90315,0.66001,1.03265,0.68024,1.12462,0.00137444,0.00137444,0.00137444
40,170.306,0.87644,0.60933,1.0142,0.92375,0.8,0.92563,0.67127,1.04281,0.67398,1.12579,0.00134535,0.00134535,0.00134535
41,174.305,0.92662,0.67265,1.03914,0.94697,0.86667,0.93601,0.67641,1.02656,0.62149,1.12148,0.00131593,0.00131593,0.00131593
42,178.273,0.88928,0.6416,1.01925,0.83691,0.9,0.90999,0.66599,1.01673,0.67,1.11275,0.0012862,0.0012862,0.0012862
43,182.279,0.88694,0.61332,1.02617,0.90121,0.91249,0.95991,0.7205,0.96509,0.59515,1.06743,0.0012562,0.0012562,0.0012562
44,186.265,0.89867,0.64908,1.03617,0.98959,0.9,0.97628,0.75765,0.91175,0.55328,1.06287,0.00122596,0.00122596,0.00122596
45,190.416,0.84268,0.57279,1.00748,0.91572,0.9,0.96979,0.7485,0.91076,0.57183,1.07727,0.00119551,0.00119551,0.00119551
46,194.413,0.88244,0.60296,1.0298,0.96354,0.9,0.967,0.74105,0.93087,0.59628,1.1192,0.00116487,0.00116487,0.00116487
47,198.438,0.85646,0.58121,0.98876,0.97736,0.86667,0.96698,0.74126,0.96859,0.57322,1.121,0.00113408,0.00113408,0.00113408
48,202.439,0.82422,0.56807,0.99353,0.92228,0.9,0.96957,0.70752,1.02678,0.56889,1.18549,0.00110317,0.00110317,0.00110317
49,206.396,0.85786,0.62404,1.0183,0.93313,0.93037,0.96696,0.70285,1.01201,0.58136,1.17157,0.00107216,0.00107216,0.00107216
50,210.378,0.82538,0.55584,0.98191,0.9918,0.9,0.96877,0.71421,1.01671,0.57861,1.17121,0.0010411,0.0010411,0.0010411
51,214.407,0.81646,0.51406,0.97685,0.98162,0.9,0.96968,0.72915,0.96002,0.55421,1.13018,0.00101,0.00101,0.00101
52,218.463,0.81266,0.51272,0.9935,0.95201,0.93333,0.98099,0.75152,0.93802,0.52519,1.11958,0.000978903,0.000978903,0.000978903
