epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7007,1.28466,2.1302,1.37268,0.78498,0.79121,0.81538,0.48663,1.2909,2.28399,1.29136,0.00039619,0.00039619,0.00039619
2,23.7123,1.28165,1.45019,1.40842,0.86551,0.77791,0.88045,0.54439,1.26579,1.29153,1.38983,0.000795996,0.000795996,0.000795996
3,34.7667,1.2857,1.20916,1.43786,0.86681,0.85818,0.90182,0.55417,1.09441,1.09545,1.33146,0.00119502,0.00119502,0.00119502
4,45.6569,1.30103,1.09323,1.45943,0.8768,0.84615,0.90912,0.55516,1.2205,0.83804,1.36236,0.00159268,0.00159268,0.00159268
5,56.4398,1.29568,1.06663,1.47479,0.86204,0.84066,0.88366,0.51256,1.2485,0.95942,1.37975,0.0019884,0.0019884,0.0019884
6,66.9486,1.30595,1.00283,1.47083,0.88695,0.73282,0.82635,0.5017,1.19933,1.09261,1.35285,0.00198781,0.00198781,0.00198781
7,77.4747,1.29938,0.9662,1.47696,0.86142,0.84066,0.91257,0.58373,1.10585,0.86353,1.32319,0.00198246,0.00198246,0.00198246
8,88.299,1.25343,0.93655,1.43596,0.86099,0.9011,0.92347,0.55922,1.22836,0.76925,1.352,0.00197616,0.00197616,0.00197616
9,98.8678,1.24829,0.88766,1.43295,0.87321,0.90818,0.9387,0.56413,1.19469,0.67474,1.32264,0.0019689,0.0019689,0.0019689
10,109.36,1.22973,0.89201,1.42304,0.90368,0.90659,0.95466,0.56831,1.07061,0.69178,1.3095,0.00196069,0.00196069,0.00196069
11,119.943,1.22556,0.86362,1.42812,0.89504,0.91758,0.94301,0.56138,1.22592,0.71408,1.3465,0.00195155,0.00195155,0.00195155
12,130.521,1.22923,0.85711,1.4194,0.84007,0.89471,0.93288,0.58291,1.07619,0.72063,1.29269,0.00194147,0.00194147,0.00194147
13,141.061,1.22155,0.83586,1.42481,0.90913,0.92857,0.95109,0.60766,1.15689,0.63245,1.32923,0.00193048,0.00193048,0.00193048
14,151.895,1.22849,0.82798,1.41459,0.85666,0.96154,0.95114,0.62592,1.04511,0.72454,1.29137,0.00191858,0.00191858,0.00191858
15,162.591,1.20037,0.81113,1.41767,0.88073,0.95604,0.94154,0.58403,1.14777,0.68723,1.32894,0.00190578,0.00190578,0.00190578
16,173.149,1.20514,0.80855,1.40808,0.91058,0.93956,0.95497,0.61671,1.15075,0.63753,1.32294,0.0018921,0.0018921,0.0018921
17,183.704,1.20378,0.81145,1.4026,0.91181,0.90891,0.94478,0.56882,1.22586,0.58952,1.34361,0.00187754,0.00187754,0.00187754
18,194.301,1.18894,0.79335,1.40517,0.88993,0.93289,0.96068,0.58298,1.17449,0.63954,1.34977,0.00186213,0.00186213,0.00186213
19,204.862,1.15948,0.75616,1.37944,0.9312,0.96677,0.96989,0.65329,0.98873,0.53729,1.2702,0.00184588,0.00184588,0.00184588
20,215.668,1.16603,0.7706,1.38537,0.88877,0.98352,0.95959,0.61141,0.99204,0.56639,1.26572,0.00182881,0.00182881,0.00182881
21,226.187,1.17219,0.77028,1.39023,0.88792,0.95762,0.95704,0.61132,1.00812,0.59084,1.27007,0.00181093,0.00181093,0.00181093
22,236.731,1.15059,0.75517,1.38516,0.89664,0.95333,0.96644,0.64451,1.07123,0.58269,1.2864,0.00179225,0.00179225,0.00179225
23,247.268,1.14719,0.74353,1.39697,0.90244,0.96572,0.96789,0.62017,1.08088,0.64653,1.29183,0.00177281,0.00177281,0.00177281
24,257.894,1.13013,0.73905,1.35634,0.90685,0.96154,0.96704,0.64065,1.06064,0.55876,1.29034,0.00175261,0.00175261,0.00175261
25,268.539,1.15656,0.7578,1.38524,0.90062,0.94612,0.9596,0.6318,1.07619,0.54451,1.28656,0.00173168,0.00173168,0.00173168
26,279.196,1.12646,0.72344,1.36661,0.92262,0.98901,0.96811,0.66149,0.94373,0.50262,1.23771,0.00171004,0.00171004,0.00171004
27,289.932,1.16614,0.70956,1.37292,0.89948,0.96154,0.95189,0.61706,1.05038,0.55325,1.25924,0.0016877,0.0016877,0.0016877
28,300.543,1.11036,0.69402,1.35348,0.92393,0.93432,0.97321,0.68277,0.96805,0.49542,1.24984,0.0016647,0.0016647,0.0016647
29,311.202,1.13307,0.71779,1.36723,0.92571,0.95846,0.97603,0.65677,1.04686,0.53453,1.29266,0.00164105,0.00164105,0.00164105
30,321.727,1.1131,0.69927,1.35102,0.9085,0.98352,0.95557,0.65232,0.97455,0.56184,1.2622,0.00161678,0.00161678,0.00161678
31,332.257,1.10907,0.68818,1.35038,0.8977,0.96429,0.97188,0.66739,1.0323,0.51195,1.29855,0.00159191,0.00159191,0.00159191
32,342.895,1.11548,0.68691,1.3531,0.91062,0.95164,0.96899,0.66453,0.98062,0.51976,1.2648,0.00156646,0.00156646,0.00156646
33,353.414,1.10613,0.66988,1.34786,0.92815,0.97802,0.9701,0.66735,0.98823,0.52613,1.26198,0.00154047,0.00154047,0.00154047
